priority,status,title,authors,year,venue_or_type,primary_url,code_url,relevance,assigned_reader,notes
P0,proposed,Robust Gymnasium: A Unified Modular Benchmark for Robust Reinforcement Learning,Xu et al.,2025,ICLR,https://arxiv.org/abs/2502.19652,https://github.com/SafeRL-Lab/Robust-Gymnasium,Highest wrapper-level overlap; inspect before defining benchmark contribution.,Chathuka,Read code/supplement alongside paper.
P0,proposed,"Learning to Adapt in Dynamic, Real-World Environments Through Meta-Reinforcement Learning",Nagabandi et al.,2019,ICLR,https://arxiv.org/abs/1803.11347,https://github.com/iclavera/learning_to_adapt,Direct sudden hidden-damage adaptation; compares recurrent and gradient model adaptation.,Chathuka,Focus on disabled-joint protocol and adaptation-delay evidence.
P0,proposed,Preparing for the Unknown: Learning a Universal Policy with Online System Identification,Yu et al.,2017,RSS,https://arxiv.org/abs/1702.02453,,Foundational explicit online system-identification comparator.,Chathuka,Ask what is identifiable and what supervision is privileged.
P0,proposed,DynaMITE-RL: A Benchmark for Temporal Meta-Reinforcement Learning,Choshen et al.,2024,NeurIPS,https://arxiv.org/abs/2402.15957,,Very high overlap with hidden context changing inside episodes.,Chathuka,Check continuous-control sessions and change metrics.
P0,proposed,RMA: Rapid Motor Adaptation for Legged Robots,Kumar et al.,2021,RSS,https://arxiv.org/abs/2107.04034,https://ashish-kmr.github.io/rma-legged-robots/,Influential history-to-latent adaptation with privileged training context.,Chathuka,Separate latent adaptation from physical-parameter identification.
P1,proposed,RL²: Fast Reinforcement Learning via Slow Reinforcement Learning,Duan et al.,2016,arXiv/ICLR workshop era,https://arxiv.org/abs/1611.02779,,Foundation for recurrent implicit adaptation.,unassigned,Clarify whether RecurrentPPO here is meta-RL or a POMDP policy.
P1,proposed,Adaptive Control Strategy for Quadruped Robots in Actuator Degradation Scenarios,Wu et al.,2023,DAI,https://doi.org/10.1145/3627676.3627686,https://github.com/WentDong/Adapt,Direct continuous torque degradation using a history transformer.,unassigned,Verify inference inputs and privileged degradation labels in code.
P1,proposed,Error-Aware Policy Learning: Zero-Shot Generalization under System Dynamics Mismatch,McKinnon and Schoellig,2021,RSS,https://www.roboticsproceedings.org/rss17/p065.html,,Relevant non-recurrent error-summary adaptation comparator.,unassigned,Assess whether prediction error offers a cheap baseline.
P1,proposed,Contextual Reinforcement Learning with CARL,Benjamins et al.,2021,arXiv,https://arxiv.org/abs/2110.02102,https://github.com/automl/CARL,"Established context benchmark with strength, mass, and friction variation.",unassigned,Inspect within-episode changes and hidden-context support.
P1,proposed,Efficient Off-Policy Meta-Reinforcement Learning via Probabilistic Context Variables,Rakelly et al.,2019,ICML,https://arxiv.org/abs/1903.08254,https://github.com/katerakelly/oyster,Explicit latent context inference; highlights fixed-task assumptions.,unassigned,Ask whether unordered context represents gradual fault trajectories.
P1,proposed,VariBAD: A Very Good Method for Bayes-Adaptive Deep RL via Meta-Learning,Zintgraf et al.,2020,ICLR,https://arxiv.org/abs/1910.08348,https://github.com/lmzintgraf/varibad,Belief adaptation with an explicit fixed-hidden-task limitation.,unassigned,Identify the assumption broken by time-varying health.
P1,proposed,Off-Dynamics Reinforcement Learning: Training for Transfer with Domain Mismatch,Liu et al.,2024,NeurIPS Datasets and Benchmarks,https://arxiv.org/abs/2410.20750,https://github.com/OffDynamicsRL/off-dynamics-rl,Benchmark for source-to-target dynamics mismatch.,unassigned,Differentiate temporal faults from target-domain adaptation.
P2,proposed,A Meta-Learning-Based Trajectory Tracking Framework for UAVs under Degraded Conditions,Yel and Bezzo,2021,IROS,https://arxiv.org/abs/2104.15081,,Explicit predictive adaptation with simulation and hardware results.,unassigned,Separate MAML predictor effect from reference correction.
P2,proposed,Complementary Meta-Reinforcement Learning for Fault-Adaptive Control,Ahmed et al.,2020,PHM,https://arxiv.org/abs/2009.12634,,Direct abrupt fault-adaptive meta-RL in fuel-transfer control.,unassigned,Inspect adaptation cost and policy-library assumptions.
P2,proposed,Fault-Tolerant Control of Degrading Systems with On-Policy Reinforcement Learning,Ahmed et al.,2020,IFAC,https://arxiv.org/abs/2008.04407,https://git.isis.vanderbilt.edu/ahmedi/airplanefaulttolerance/-/tree/ifac2020,Gradual degradation with model refitting and PPO updates.,unassigned,Separate real and model-generated adaptation samples.
P2,proposed,Fault-Tolerant Control of Skid Steering Vehicles Based on Meta-RL with Situation Embedding,Dai et al.,2022,Actuators,https://doi.org/10.3390/act11030072,,Direct wheel loss-of-effectiveness and situation embedding.,unassigned,Clarify online fault observability and wall-clock adaptation.
