Title,Week,Phase,Start date,Target date,Technical / research work,Exit criterion,Relationship / public action
Week 01: Define FaultAdapt-Gym scope and compute budget,1,1 — Foundations,2026-08-24,2026-08-30,Audit CPU/RAM and time constraints; install the package; run the smoke experiment; define the exact primary question and exclusions.,"Clean installation, passing smoke run, one-page scope and compute inventory.",List relevant UoM controls/robotics/ML mentors and request one bounded proposal critique.
Week 02: Reproduce control and RL foundations,2,1 — Foundations,2026-08-31,2026-09-06,"Review MDPs, PPO, recurrent policies, partial observability, and online system identification; reproduce a Pendulum baseline.",Seeded Pendulum baseline with environment lock and first learning/control plot.,Follow maintainers and two relevant labs; write technical notes rather than generic messages.
Week 03: Build the adaptive-control literature matrix,3,1 — Foundations,2026-09-07,2026-09-13,"Read 6–8 anchor works on adaptive/meta-RL, fault-tolerant control, recurrent RL, and system identification.","Literature matrix with problem, hidden context, method, metrics, limitations, and open gap.",Discuss the gap with one postgraduate student or faculty member.
Week 04: Freeze the two-page proposal and pilot,4,1 — Foundations,2026-09-14,2026-09-20,"Specify H1–H4, methods, independent/dependent variables, compute cap, risks, and run one sudden-fault pilot.",Mentor-reviewed proposal and go/no-go decision for Reacher and method scope.,Send the proposal to a second local academic only if its scope is concrete.
Week 05: Complete fault wrappers and deterministic harness,5,2 — Infrastructure,2026-09-21,2026-09-27,"Test fixed, sudden, and gradual actuator loss plus delay, noise, and bias; add seeded evaluation configuration.",Wrapper unit tests and deterministic rollout/evaluation tests pass.,Open an upstream issue only for a genuine reproducible Gymnasium/SB3 problem.
Week 06: Implement classical baseline and provenance logging,6,2 — Infrastructure,2026-09-28,2026-10-04,"Implement the environment-appropriate classical controller and log config, seed, commit, timing, and raw results.",Classical baseline evaluated across nominal and initial fault sweep.,Publish a short note explaining control assumptions and failure conditions.
Week 07: Train feed-forward PPO under fixed budgets,7,2 — Infrastructure,2026-10-05,2026-10-11,Add a small feed-forward PPO baseline; tune only using a declared budget.,One- to two-seed debug results plus five-seed nominal baseline if runtime permits.,"Ask one RL practitioner for feedback on evaluation fairness, not model tuning."
Week 08: Release benchmark v0.1,8,2 — Infrastructure,2026-10-12,2026-10-18,"Package installation, plotting, result schema, and first baseline sweep.",A clean environment reproduces tests and one fault plot; tagged v0.1 release.,Post the first technical progress update and request feedback on one precise design choice.
Week 09: Implement recurrent PPO,9,3 — Research contribution,2026-10-19,2026-10-25,Add a GRU/LSTM policy receiving interaction history without ground-truth fault labels.,Recurrent policy trains and evaluation verifies that hidden fault state is not exposed.,Study AMAGO and contact an accessible maintainer/author only with a code-level question.
Week 10: Implement explicit online identification baseline,10,3 — Research contribution,2026-10-26,2026-11-01,Estimate actuator scale or dynamics parameters from transitions and condition a controller/policy on that estimate.,Estimator error and convergence time are logged alongside task performance.,Ask a controls mentor to critique identifiability and estimator assumptions.
Week 11: Compare temporal fault profiles,11,3 — Research contribution,2026-11-02,2026-11-08,"Run matched-budget comparisons under fixed, sudden, and gradual faults; inspect whether memory helps or lags.","Preliminary plots for H1, H2, and H4 with documented failures.",Mentor review #2; shortlist realistic workshop/student/reproducibility venues.
Week 12: Midpoint replication and scope cut,12,3 — Research contribution,2026-11-09,2026-11-15,"Reproduce one result cleanly; remove weak fault families, methods, or environments.",v0.2 release and three-page midpoint report with limitations and revised compute forecast.,Share one useful result with a PhD student or engineer working on adaptive control.
Week 13: Freeze the final evaluation protocol,13,4 — Final experiments,2026-11-16,2026-11-22,"Commit hypotheses, metrics, held-out severities, abrupt onset distributions, seed count, and exclusion rules.",Versioned protocol exists before final experiments begin.,Publish the protocol and invite methodological criticism.
Week 14: Run final comparison batch A,14,4 — Final experiments,2026-11-23,2026-11-29,"Compare classical, feed-forward PPO, recurrent PPO, and explicit identification with automatic provenance.",Complete raw nominal and in-distribution results for all final seeds.,"Offer a small, relevant control/embedded contribution to a local project."
Week 15: Run held-out fault generalization,15,4 — Final experiments,2026-11-30,2026-12-06,"Evaluate unseen fault severity, onset timing, payload/friction, bias, and latency within frozen scope.",Held-out results with confidence intervals and no selective seed reporting.,Discuss one reproduced paper result with its first author or maintainer.
Week 16: Analyze adaptation and memory failure modes,16,4 — Final experiments,2026-12-07,2026-12-13,Measure recovery/adaptation time and identify cases where stale memory harms behavior.,Quantified failure taxonomy with at least three recurring modes and representative rollouts.,Share an honest negative or mixed result publicly.
Week 17: Add at most one justified extension,17,4 — Final experiments,2026-12-14,2026-12-20,"Choose Reacher-to-second-environment transfer, compact transformer if GPU exists, or safe HIL if hardware exists; otherwise improve analysis.",Extension is completed or explicitly rejected by week end without delaying the core study.,Mentor review #3 on whether evidence is submission-worthy.
Week 18: Perform independent clean reproduction,18,4 — Final experiments,2026-12-21,2026-12-27,Install from scratch and reproduce one headline result using committed config and data pipeline.,Independent/clean rerun matches expected tolerance; documentation and tests are complete.,Follow up with prior reviewers using the improved artifact.
Week 19: Write paper structure and methods,19,5 — Paper and release,2026-12-28,2027-01-03,"Draft abstract, introduction, related work, benchmark, methods, and protocol; place all planned figures/tables.",Complete paper skeleton with every claim mapped to evidence.,Recruit one controls reviewer and one ML reviewer.
Week 20: Write results and limitations,20,5 — Paper and release,2027-01-04,2027-01-10,"Complete results, discussion, safety, limitations, compute statement, and reproducibility checklist.",Draft v1 contains no placeholder results or unsupported claims.,Publish a progress note focused on one defensible finding.
Week 21: Address reviews and necessary reruns,21,5 — Paper and release,2027-01-11,2027-01-17,Resolve methodological concerns; rerun only experiments needed for a documented question.,Draft v2 and response-to-feedback log are complete.,"If directly relevant, send one artifact-based note to an appropriate senior target."
Week 22: Release FaultAdapt-Gym v1.0,22,5 — Paper and release,2027-01-18,2027-01-24,"Publish code, configs, allowed data, report, demo, citation, and archival release if possible.","v1.0 release, 3–5 minute demo, project page, and 6–8 page report.",Submit only to a mentor-approved credible venue if evidence and timing fit.
Week 23: Prepare targeted outreach and applications,23,6 — Outreach and career package,2027-01-25,2027-01-31,"Create academic CV, industry résumé, project one-pager, research statement paragraph, and contact tracker.",Complete application packet grounded in the released artifact.,Contact 2–3 relevant people with distinct evidence-based reasons.
Week 24: Integrate portfolio and choose next experiment,24,6 — Outreach and career package,2027-02-01,2027-02-07,"Give a mock talk, conduct retrospective, and decide whether GPU/VLA or hardware validation is the next controlled extension.","Final dashboard, mock talk, lessons learned, and next six-month milestone.",Thank contributors and update people whose earlier feedback changed the work.
